"from","to"
"Steven J. Bosworth","Dennis J. Snower"
"Steven J. Bosworth","Gabriele Chierchia"
"Dennis J. Snower","Gabriele Chierchia"
"Stepan Vesely","Erik Wengström"
"Daphne Chang","Roy Chen"
"Daphne Chang","Erin Krupka"
"Roy Chen","Erin Krupka"
"Kathrin Dengler-Roscher","Natalia Montinari"
"Kathrin Dengler-Roscher","Marian Panganiban"
"Kathrin Dengler-Roscher","Matteo Ploner"
"Kathrin Dengler-Roscher","Benedikt Werner"
"Natalia Montinari","Marian Panganiban"
"Natalia Montinari","Matteo Ploner"
"Natalia Montinari","Benedikt Werner"
"Marian Panganiban","Matteo Ploner"
"Marian Panganiban","Benedikt Werner"
"Matteo Ploner","Benedikt Werner"
"Seungjun Ahn","Byungjoo Choi"
"Seungjun Ahn","SangHyun Lee"
"Byungjoo Choi","SangHyun Lee"
"Marius Alt","Carlo Gallier"
"Marius Alt","Achim Schluter"
"Marius Alt","Katherine Nelson"
"Marius Alt","Eva Anggraini"
"Carlo Gallier","Achim Schluter"
"Carlo Gallier","Katherine Nelson"
"Carlo Gallier","Eva Anggraini"
"Achim Schluter","Katherine Nelson"
"Achim Schluter","Eva Anggraini"
"Katherine Nelson","Eva Anggraini"
"Ruth Beer","Ignacio Andres Rios"
"Ruth Beer","Daniela Saban"
"Ignacio Andres Rios","Daniela Saban"
"Markus Sass","Florian Timme"
"Markus Sass","Joachim Weimann"
"Florian Timme","Joachim Weimann"
"Eryk Krysowski","James Tremewan"
"Hanna Fromell","Daniele Nosenzo"
"Hanna Fromell","Trudy Owens"
"Hanna Fromell","Fabio Tufano"
"Daniele Nosenzo","Trudy Owens"
"Daniele Nosenzo","Fabio Tufano"
"Trudy Owens","Fabio Tufano"
"Ritwik Banerjee","Tushi Baul"
"Ritwik Banerjee","Tanya Rosenblat"
"Tushi Baul","Tanya Rosenblat"
"Peilu Zhang","Yinjunjie Zhang"
"Peilu Zhang","Marco Palma"
"Yinjunjie Zhang","Marco Palma"
"Alisa Frik","Luigi Mittone"
"Markus Sass","Florian Timme"
"Markus Sass","Joachim Weimann"
"Florian Timme","Joachim Weimann"
"Blaine Robbins","Aaron Kamm"
"Blaine Robbins","Daniel Karell"
"Blaine Robbins","Simon Siegenthaler"
"Aaron Kamm","Daniel Karell"
"Aaron Kamm","Simon Siegenthaler"
"Daniel Karell","Simon Siegenthaler"
"Maximiliano Senci","Brenda Elizabeth Ryan"
"Maximiliano Senci","Natalia Gregorietti"
"Maximiliano Senci","Esteban Freidin"
"Brenda Elizabeth Ryan","Natalia Gregorietti"
"Brenda Elizabeth Ryan","Esteban Freidin"
"Natalia Gregorietti","Esteban Freidin"
"Cristina Bicchieri","Erte Xiao"
"Erte Xiao","Cristina Bicchieri"
"Marco Faillo","Stefania Ottone"
"Marco Faillo","Lorenzo Sacconi"
"Stefania Ottone","Lorenzo Sacconi"
"Nils Köbis","Daniel Iragorri-Carter"
"Nils Köbis","Christopher Starke"
"Daniel Iragorri-Carter","Christopher Starke"
"Mark Bernard","Ernesto Reuben"
"Mark Bernard","Arno Riedl"
"Ernesto Reuben","Arno Riedl"
"Astrid Matthey","Tobias Regner"
"Greg DeAngelo","Perry Ferrell"
"Greg DeAngelo","Bryan McCannon"
"Perry Ferrell","Bryan McCannon"
"Christoph Engel","Michael Kurschilgen"
"Moya Miller","Molla Ubeda"
"Alex K. Chavez","Cristina Bicchieri"
"Klaus Abbink","Esteban Freidin"
"Klaus Abbink","Lata Gangadharan"
"Klaus Abbink","Rodrigo Moro"
"Esteban Freidin","Lata Gangadharan"
"Esteban Freidin","Rodrigo Moro"
"Lata Gangadharan","Rodrigo Moro"
"Edward Lazear","Ulrike Malmendier"
"Edward Lazear","Roberto Weber"
"Ulrike Malmendier","Roberto Weber"
